"id","major_groups","number","per_cent"
"1","North-West Europe","1419","12.0"
"2","Americas","793","13.52"
"3","Australia","26273","14.6"
"4","Southern and Eastern Europe","644","14.94"
"5","Sub-Saharan Africa","1172","17.84"
"6","Oceania and Antarctica","1953","19.82"
"7","North Africa and the Middle East","1823","23.37"
"8","North-East Asia","2885","25.12"
"9","South-East Asia","4547","29.67"
"10","Southern and Central Asia","9977","35.22"
